offered_rps,actual_dispatch_rps,duration_s,request_count,completed_count,error_count,error_rate,client_limited,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,client_ttft_n,client_e2e_p50_s,client_e2e_p95_s,client_e2e_p99_s,client_e2e_n,completed_request_throughput_rps,output_token_throughput_tps,backend_queue_time_p50_ms,backend_queue_time_p95_ms,backend_queue_time_n,backend_ttft_p50_ms,backend_ttft_p95_ms,backend_ttft_n,median_dispatch_lag_s,status_counts,finish_reason_counts,suite_id,repeat_id,aborted,abort_reason,max_waiting_requests,typical_waiting_requests,max_kv_cache_usage_perc
8.0,7.999819088392078,45.75368673099911,360,360,0,0.0,False,0.03856057499979215,0.04727541185066002,0.05411351316992299,360,0.8969740824995824,1.0201872326513695,1.0384596333901754,360,7.868218404268879,503.5659778732083,0.005684999450750183,0.006895201204315527,360,25.93785899989598,31.813875899570135,360,0.0007346524998865789,{'length': 360},{'length': 360},final-2026-08-31T01-43-39Z,final-rps8-rep1,False,,0.0,0.0,0.006171781244642571
8.0,7.999817247272123,45.795182732001194,360,360,0,0.0,False,0.03883986050004751,0.048301156998786614,0.06068697429029287,360,0.9040028190001976,1.0047034585000802,1.1129578718203632,360,7.861088842177187,503.10968589934,0.005641500138153788,0.006929000574018577,360,26.13116649990843,31.726390849235035,360,0.0007432390002577449,{'length': 360},{'length': 360},final-2026-08-31T01-43-39Z,final-rps8-rep2,False,,0.0,0.0,0.005828904508829114
8.0,8.000038182867486,45.71046973100056,360,360,0,0.0,False,0.03805012799966789,0.04663557794965527,0.08217461705953766,360,0.8885106510006153,0.954501027301194,1.352491437759927,360,7.8756574176233025,504.04207472789136,0.005618499926640652,0.006751400906068739,360,25.613791499381477,30.202342849588607,360,0.0007337115002883365,{'length': 360},{'length': 360},final-2026-08-31T01-43-39Z,final-rps8-rep3,False,,0.0,0.0,0.006857534716269487
64.0,63.99976035430781,45.910748767999394,2880,2880,0,0.0,False,0.04077974249958061,0.05127483654987373,0.06246443703950718,2880,0.8804219584999373,0.969565157451234,0.9853308376501627,2880,62.73040796074777,4014.746109487857,0.005439999767986592,0.006970849972276478,2880,26.35238249968097,31.137861149909433,2880,0.0008461870002065552,{'length': 2880},{'length': 2880},final-2026-08-31T01-43-39Z,final-rps64-rep1,False,,0.0,0.0,0.03583061889250816
64.0,63.99766276178531,45.85335640700032,2880,2880,0,0.0,False,0.043095676000120875,0.05560807114925409,0.11290279904928063,2880,0.935983553999904,1.0131540682000377,1.4469810716297615,2880,62.80892448606701,4019.771167108289,0.005649000740959309,0.00832805098980316,2880,27.755711000281735,33.590590149196935,2880,0.0008592385001975344,{'length': 2880},{'length': 2880},final-2026-08-31T01-43-39Z,final-rps64-rep2,False,,0.0,0.0,0.05297445568318193
64.0,63.999062150674355,45.86075242300103,2880,2880,0,0.0,False,0.0404984599990712,0.05106744959966817,0.0721328463100146,2880,0.8786878979999528,0.9821624496496041,1.0440784300291126,2880,62.798795218971655,4019.122894014186,0.005426998541224748,0.007116449796740179,2880,26.159511001424107,31.452325850659676,2880,0.0008435080007984652,{'length': 2880},{'length': 2880},final-2026-08-31T01-43-39Z,final-rps64-rep3,False,,0.0,0.0,0.038230756043202474
128.0,127.71939048398909,58.36785059400063,5760,5754,6,0.0010416666666666667,False,0.08690863949959748,12.257972384749973,17.589439749479972,5754,1.4581164000001081,13.786928289799471,19.10892619576993,5754,98.58166681559159,6309.226676197862,0.010357499377278145,2892.1475771996484,5754,42.934785000397824,75.33390300159226,5754,0.00402430850044766,"{'length': 5754, 'stream_error': 6}","{'length': 5754, 'null': 6}",final-2026-08-31T01-43-39Z,final-rps128-rep1,False,,383.0,0.0,0.16080918909651976
128.0,127.977618684534,46.05577047099905,5760,5760,0,0.0,False,0.07874806450035976,0.09295980800025064,0.1330874265306556,5760,1.3776988704994437,1.4174498963498081,1.4425596481901994,5760,125.06576138221433,8004.208728461717,0.00760750026529422,0.013941300403530478,5760,41.58416300015233,43.30440999910934,5760,0.001884416500615771,{'length': 5760},{'length': 5760},final-2026-08-31T01-43-39Z,final-rps128-rep2,False,,0.0,0.0,0.1013200754328819
128.0,127.99666232854108,45.94748304699897,5760,5760,0,0.0,False,0.06507940599931317,0.08047127364970948,0.09549064465983972,5760,1.1285395969998717,1.336465466950085,1.3520222147699132,5760,125.36051200254397,8023.072768162814,0.006907500392117072,0.012333099220995791,5760,33.96583999892755,41.40047900000354,5760,0.0012404644994603586,{'length': 5760},{'length': 5760},final-2026-08-31T01-43-39Z,final-rps128-rep3,False,,0.0,0.0,0.089490828047317
132.0,131.76910230946257,68.9010190680001,5940,5929,11,0.001851851851851852,False,0.42578470000080415,21.83436400619973,31.361281996200024,5929,1.3974232729997311,23.339902611000404,32.77885075463899,5929,86.05097689699662,5507.262521407783,0.009826000678003766,1260.078305200659,5929,34.544568001365406,57.20787400059635,5929,0.012794476136150479,"{'length': 5929, 'stream_error': 11}","{'length': 5929, 'null': 11}",final-2026-08-31T01-43-39Z,final-rps132-rep1,False,,295.0,0.0,0.14846562660723472
132.0,131.04597884794498,53.942841203999706,5280,5276,4,0.0007575757575757576,True,0.11859176050074893,14.743131098499816,16.17297087725001,5276,1.27972567300003,15.762340451249656,17.192348417249832,5276,97.80723228958878,6259.662866533682,0.011390000508981757,4003.5655144993143,5276,36.30305499973474,104.1695060011989,5276,0.007655427742065513,"{'length': 5276, 'stream_error': 4}","{'length': 5276, 'null': 4}",final-2026-08-31T01-43-39Z,final-rps132-rep2,True,in-flight reached 2048; aborting rather than closing the loop,893.0,0.0,0.20898337047831306
132.0,122.57194610612949,61.41590173700024,5940,5922,18,0.0030303030303030303,False,0.07663954249983362,19.68030869714994,27.131551233170917,5922,1.2299445475000539,20.808205336648914,27.85407533170997,5922,96.4245388003848,6171.170483224627,0.009417500223207753,1698.173550750198,5922,36.77365299881785,58.61654399996041,5922,0.00742080786403676,"{'length': 5922, 'stream_error': 18}","{'length': 5922, 'null': 18}",final-2026-08-31T01-43-39Z,final-rps132-rep3,False,,63.0,0.0,0.17503857363277897
136.0,135.98712795654487,45.98193682599958,6120,6120,0,0.0,False,0.06762608950066351,0.07939258675014571,0.1143921731591945,6120,1.1505350929992346,1.2022633887509984,1.2376516758708023,6120,133.0957419901366,8518.127487368742,0.007152500074880663,0.011976999394391896,6120,34.46513400012918,36.11741200074903,6120,0.0016885385002751718,{'length': 6120},{'length': 6120},final-2026-08-31T01-43-39Z,final-rps136-rep1,False,,0.0,0.0,0.08726212926452936
136.0,136.00173638464318,45.97362285199961,6120,6120,0,0.0,False,0.06800642049893213,0.08035360424973988,0.14408880683988207,6120,1.1549974724994172,1.1985849684987442,1.2217580495694533,6120,133.11981132532853,8519.667924821026,0.007175999598985072,0.012211950797791367,6120,34.61322900147934,36.26721699947666,6120,0.0019200729411750217,{'length': 6120},{'length': 6120},final-2026-08-31T01-43-39Z,final-rps136-rep2,False,,0.0,0.0,0.0903480198868507
136.0,131.59704640788271,65.76189156500004,6120,6112,8,0.00130718954248366,False,0.5163311975002216,19.329625201750787,25.092126957191223,6112,1.7526842379993468,19.951278947649726,26.70676090444928,6112,92.9413655013072,5948.247392083661,0.01080550100596156,1735.4649104998316,6112,35.60735599967302,57.544792000044254,6112,0.01578116329437762,"{'length': 6112, 'stream_error': 8}","{'length': 6112, 'null': 8}",final-2026-08-31T01-43-39Z,final-rps136-rep3,False,,409.0,0.0,0.17280987484999144
144.0,132.64840766937232,53.1393469020004,4345,4339,6,0.001380897583429229,True,4.658654155000477,26.80721436560026,31.9512188938002,4339,6.734488620000775,28.35700605009986,33.307348272880425,4339,81.65324289743315,5225.807545435721,0.0220969996007625,1487.421561001429,4339,37.88498799985973,82.47185799882573,4339,0.1135895182233071,"{'length': 4339, 'stream_error': 6}","{'length': 4339, 'null': 6}",final-2026-08-31T01-43-39Z,final-rps144-rep1,True,in-flight reached 2048; aborting rather than closing the loop,292.0,0.0,0.16646665523744208
144.0,127.92793597230602,49.26927694300139,3804,3791,13,0.0034174553101997897,True,7.028303192000749,22.911525712500406,30.463782455900034,3791,8.298815215999639,24.806197095000243,32.38797142349958,3791,76.9445024408564,4924.448156214809,0.04406100015330594,2069.5073235001473,3791,47.58288199991512,68.96043000051577,3791,0.1460793999449379,"{'length': 3791, 'stream_error': 13}","{'length': 3791, 'null': 13}",final-2026-08-31T01-43-39Z,final-rps144-rep2,True,in-flight reached 2048; aborting rather than closing the loop,237.0,0.0,0.18138179324532833
144.0,144.00061912898818,91.13979232199927,2182,2182,0,0.0,True,72.12359432700032,75.1905092017495,75.74308520453957,2182,73.56648144300016,75.86953192349901,76.39376822762894,2182,23.94124393317616,1532.2396117232743,61540.5429880002,70058.29090049973,2182,71.1998480001057,179.6928016492521,2182,0.00076805622302345,{'length': 2182},{'length': 2182},final-2026-08-31T01-43-39Z,final-rps144-rep3,True,in-flight reached 2048; aborting rather than closing the loop,1744.0,1689.0,0.1486370649751414
