count,completed_count,error_count,error_rate,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,client_ttft_n,client_e2e_p50_s,client_e2e_p95_s,client_e2e_p99_s,slo_met,suite_id,repeat_id,scenario,workload_class,phase,background_offered_rps
960,960,0,0.0,0.03842674650013578,0.046382332499888435,0.05324243011000362,960,0.8447247915005391,0.8610094280505564,0.8710564777597574,True,final-2026-08-31T13-09-14Z,final-control-rep1,control,interactive,pre_burst,0.0
960,960,0,0.0,0.0386229419996198,0.04679653489993143,0.051560744480084394,960,0.8428639780004232,0.8740901098499763,0.8842341472197859,True,final-2026-08-31T13-09-14Z,final-control-rep1,control,interactive,burst_injection,0.0
1920,1920,0,0.0,0.03856408250021559,0.04653992270054914,0.050603594979857,1920,0.8438815095000791,0.8792344965498614,0.8930097256501631,True,final-2026-08-31T13-09-14Z,final-control-rep1,control,interactive,recovery,0.0
960,960,0,0.0,0.03844620500012752,0.04661744354966686,0.05406950468051935,960,0.8417886524998721,0.9109642408495346,0.9251435895406758,True,final-2026-08-31T13-09-14Z,final-control-rep2,control,interactive,pre_burst,0.0
960,960,0,0.0,0.03734952900049393,0.04478964669942797,0.046950260629200775,960,0.8271011700007875,0.8391006738013858,0.8436164001600264,True,final-2026-08-31T13-09-14Z,final-control-rep2,control,interactive,burst_injection,0.0
1920,1920,0,0.0,0.03980635600055393,0.049461272998360076,0.05453706203037654,1920,0.8771855234999748,0.9307600054504291,0.9518276150695602,True,final-2026-08-31T13-09-14Z,final-control-rep2,control,interactive,recovery,0.0
960,960,0,0.0,0.03913387549982872,0.047656245499365466,0.07758919802972736,960,0.8556634990009115,0.8865299742995375,0.9191374833700133,True,final-2026-08-31T13-09-14Z,final-control-rep3,control,interactive,pre_burst,0.0
960,960,0,0.0,0.03794137600016256,0.045613551651058515,0.050049111890784835,960,0.8379804455007616,0.86521514890037,0.8754134099509793,True,final-2026-08-31T13-09-14Z,final-control-rep3,control,interactive,burst_injection,0.0
1920,1920,0,0.0,0.03999140600080864,0.048920926248774775,0.05367490492913928,1920,0.8726859209991744,0.9311366365501271,0.951645445790491,True,final-2026-08-31T13-09-14Z,final-control-rep3,control,interactive,recovery,0.0
960,960,0,0.0,0.04054819649991259,0.049305686649859126,0.05575301596061763,960,0.8795226454994918,0.941900649449417,1.0579857664399606,True,final-2026-08-31T13-09-14Z,final-mixed-bg16-rep1,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.32347390499944595,3.9700196440010584,4.232789882800371,960,3.0309796330002428,6.884897566751079,7.094378299680557,False,final-2026-08-31T13-09-14Z,final-mixed-bg16-rep1,mixed,interactive,burst_injection,16.0
1920,1916,4,0.0020833333333333333,3.0168969685000775,5.716308586499508,7.307390608400781,1916,4.854482296000242,7.242791862499416,8.74258005979927,False,final-2026-08-31T13-09-14Z,final-mixed-bg16-rep1,mixed,interactive,recovery,16.0
960,960,0,0.0,0.03972212850021606,0.049129502349751414,0.10074270959019453,960,0.8652979900007267,0.9650295726000877,1.0860614269402504,True,final-2026-08-31T13-09-14Z,final-mixed-bg16-rep2,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.3171709930011275,2.409129604099598,2.5793842537708223,960,2.8235700060013187,4.911371966100614,5.014536555750128,False,final-2026-08-31T13-09-14Z,final-mixed-bg16-rep2,mixed,interactive,burst_injection,16.0
1920,1917,3,0.0015625,2.2894611380015704,5.183581704000244,6.429173049999441,1917,3.6497805700000754,6.347110589400471,7.513271698600506,False,final-2026-08-31T13-09-14Z,final-mixed-bg16-rep2,mixed,interactive,recovery,16.0
960,960,0,0.0,0.037146618000406306,0.048753622099502535,0.0673578951499621,960,0.8268973699996423,0.9418382144995121,0.9807817748895832,True,final-2026-08-31T13-09-14Z,final-mixed-bg16-rep3,mixed,interactive,pre_burst,16.0
960,960,0,0.0,0.10086355649946199,1.8773267803499945,2.063022212829291,960,2.402898723499675,4.443521681799757,4.553518498399916,False,final-2026-08-31T13-09-14Z,final-mixed-bg16-rep3,mixed,interactive,burst_injection,16.0
1920,1917,3,0.0015625,1.9861715450006159,5.356212104400037,6.213904423438649,1917,3.4059650790004525,6.370683839398771,7.253963562119097,False,final-2026-08-31T13-09-14Z,final-mixed-bg16-rep3,mixed,interactive,recovery,16.0
