t_s,background_limit,background_inflight,local_pending_depth,vllm_running,vllm_waiting,controller_action,repeat_id,mode,background_offered_rps
0.005655026998283574,32,0,0,0.0,0.0,hold,backpressure-rep1,backpressure,16.0
0.5110699489996477,32,0,0,32.0,0.0,hold,backpressure-rep1,backpressure,16.0
1.017250475997571,32,0,0,63.0,0.0,hold,backpressure-rep1,backpressure,16.0
1.5227879949998169,33,0,0,58.0,0.0,increase,backpressure-rep1,backpressure,16.0
2.027144433999638,33,0,0,58.0,0.0,hold,backpressure-rep1,backpressure,16.0
2.532510094999452,33,0,0,60.0,0.0,hold,backpressure-rep1,backpressure,16.0
3.0374588779995975,33,0,0,58.0,0.0,hold,backpressure-rep1,backpressure,16.0
3.5426407659979304,34,0,0,55.0,0.0,increase,backpressure-rep1,backpressure,16.0
4.0473002689977875,34,0,0,56.0,0.0,hold,backpressure-rep1,backpressure,16.0
4.553825521998078,34,0,0,57.0,0.0,hold,backpressure-rep1,backpressure,16.0
5.058899731997371,34,0,0,57.0,0.0,hold,backpressure-rep1,backpressure,16.0
5.563545897999575,35,0,0,55.0,0.0,increase,backpressure-rep1,backpressure,16.0
6.068900325997674,35,0,0,57.0,0.0,hold,backpressure-rep1,backpressure,16.0
6.573034581000684,35,0,0,58.0,0.0,hold,backpressure-rep1,backpressure,16.0
7.0776508989983995,35,0,0,56.0,0.0,hold,backpressure-rep1,backpressure,16.0
7.587052209997637,36,0,0,55.0,0.0,increase,backpressure-rep1,backpressure,16.0
8.094954780997796,36,0,0,55.0,0.0,hold,backpressure-rep1,backpressure,16.0
8.599339920998318,36,0,0,56.0,0.0,hold,backpressure-rep1,backpressure,16.0
9.104320332997304,36,0,0,58.0,0.0,hold,backpressure-rep1,backpressure,16.0
9.608101522997458,37,0,0,57.0,0.0,increase,backpressure-rep1,backpressure,16.0
10.112878533000185,37,0,0,56.0,0.0,hold,backpressure-rep1,backpressure,16.0
10.617301834998216,37,0,0,55.0,0.0,hold,backpressure-rep1,backpressure,16.0
11.121138286998757,37,0,0,59.0,0.0,hold,backpressure-rep1,backpressure,16.0
11.62671095100086,38,0,0,58.0,0.0,increase,backpressure-rep1,backpressure,16.0
12.130942878000496,38,0,0,57.0,0.0,hold,backpressure-rep1,backpressure,16.0
12.63557984900035,38,0,0,56.0,0.0,hold,backpressure-rep1,backpressure,16.0
13.13979093799935,38,0,0,56.0,0.0,hold,backpressure-rep1,backpressure,16.0
13.648143166999944,39,0,0,56.0,0.0,increase,backpressure-rep1,backpressure,16.0
14.154956097998365,39,0,0,57.0,0.0,hold,backpressure-rep1,backpressure,16.0
14.661401969999133,39,0,0,56.0,0.0,hold,backpressure-rep1,backpressure,16.0
15.171832431999064,39,3,0,62.0,0.0,hold,backpressure-rep1,backpressure,16.0
15.678608636000718,40,11,0,77.0,0.0,increase,backpressure-rep1,backpressure,16.0
16.18626365399905,40,19,0,95.0,0.0,hold,backpressure-rep1,backpressure,16.0
16.695500670997717,40,28,0,104.0,0.0,hold,backpressure-rep1,backpressure,16.0
17.201658059999318,40,36,0,116.0,0.0,hold,backpressure-rep1,backpressure,16.0
17.706675785997504,41,40,4,125.0,0.0,increase,backpressure-rep1,backpressure,16.0
18.215465518998826,41,41,11,136.0,0.0,hold,backpressure-rep1,backpressure,16.0
18.719747317998554,41,41,19,146.0,0.0,hold,backpressure-rep1,backpressure,16.0
19.22501316299895,41,41,27,152.0,0.0,hold,backpressure-rep1,backpressure,16.0
19.729252320998057,42,41,35,155.0,0.0,increase,backpressure-rep1,backpressure,16.0
20.233992555997247,42,42,42,158.0,0.0,hold,backpressure-rep1,backpressure,16.0
20.74730022699805,42,42,50,160.0,0.0,hold,backpressure-rep1,backpressure,16.0
21.251673220998782,42,42,57,160.0,0.0,hold,backpressure-rep1,backpressure,16.0
21.756127045999165,43,42,60,162.0,0.0,increase,backpressure-rep1,backpressure,16.0
22.268715101999987,43,43,62,163.0,0.0,hold,backpressure-rep1,backpressure,16.0
22.77274208399831,43,43,65,163.0,0.0,hold,backpressure-rep1,backpressure,16.0
23.279328878998058,43,43,68,163.0,0.0,hold,backpressure-rep1,backpressure,16.0
23.78432714399969,44,43,71,162.0,0.0,increase,backpressure-rep1,backpressure,16.0
24.300315108997893,44,44,72,162.0,0.0,hold,backpressure-rep1,backpressure,16.0
24.81447394099814,44,44,74,161.0,0.0,hold,backpressure-rep1,backpressure,16.0
25.327527993998956,44,44,81,161.0,0.0,hold,backpressure-rep1,backpressure,16.0
25.84367096799906,45,44,89,161.0,0.0,increase,backpressure-rep1,backpressure,16.0
26.350939555999503,45,45,96,163.0,0.0,hold,backpressure-rep1,backpressure,16.0
26.861970103000203,45,45,104,164.0,0.0,hold,backpressure-rep1,backpressure,16.0
27.366821666997566,45,45,111,164.0,0.0,hold,backpressure-rep1,backpressure,16.0
27.870740004000254,46,45,119,164.0,0.0,increase,backpressure-rep1,backpressure,16.0
