t_s,background_limit,background_inflight,local_pending_depth,vllm_running,vllm_waiting,controller_action,repeat_id,mode,background_offered_rps
0.013902899001550395,32,0,0,0.0,0.0,hold,backpressure-rep1,backpressure,16.0
0.5318943040001614,32,0,0,32.0,0.0,hold,backpressure-rep1,backpressure,16.0
1.0424865439999849,32,0,0,61.0,0.0,hold,backpressure-rep1,backpressure,16.0
1.5505448100011563,33,0,0,57.0,0.0,increase,backpressure-rep1,backpressure,16.0
2.056724859001406,33,0,0,54.0,0.0,hold,backpressure-rep1,backpressure,16.0
2.561514430002717,33,0,0,53.0,0.0,hold,backpressure-rep1,backpressure,16.0
3.067811229000654,33,0,0,53.0,0.0,hold,backpressure-rep1,backpressure,16.0
3.5738507280002523,34,0,0,54.0,0.0,increase,backpressure-rep1,backpressure,16.0
4.079304511000373,34,0,0,52.0,0.0,hold,backpressure-rep1,backpressure,16.0
4.5837081509998825,34,0,0,52.0,0.0,hold,backpressure-rep1,backpressure,16.0
5.089567218001321,34,0,0,52.0,0.0,hold,backpressure-rep1,backpressure,16.0
5.595105123000394,35,0,0,53.0,0.0,increase,backpressure-rep1,backpressure,16.0
6.1029000650014495,35,0,0,52.0,0.0,hold,backpressure-rep1,backpressure,16.0
6.60795805700036,35,0,0,53.0,0.0,hold,backpressure-rep1,backpressure,16.0
7.11288326200156,35,0,0,54.0,0.0,hold,backpressure-rep1,backpressure,16.0
7.618660922002164,36,0,0,56.0,0.0,increase,backpressure-rep1,backpressure,16.0
8.122336848002305,36,0,0,59.0,0.0,hold,backpressure-rep1,backpressure,16.0
8.627389148001384,36,0,0,57.0,0.0,hold,backpressure-rep1,backpressure,16.0
9.134247362999304,36,0,0,55.0,0.0,hold,backpressure-rep1,backpressure,16.0
9.637825412002712,37,0,0,55.0,0.0,increase,backpressure-rep1,backpressure,16.0
10.143339647001994,37,0,0,54.0,0.0,hold,backpressure-rep1,backpressure,16.0
10.64928138400137,37,0,0,53.0,0.0,hold,backpressure-rep1,backpressure,16.0
11.153788367002562,37,0,0,53.0,0.0,hold,backpressure-rep1,backpressure,16.0
11.657331209000404,38,0,0,53.0,0.0,increase,backpressure-rep1,backpressure,16.0
12.164443869001843,38,0,0,53.0,0.0,hold,backpressure-rep1,backpressure,16.0
12.66985742900215,38,0,0,54.0,0.0,hold,backpressure-rep1,backpressure,16.0
13.177447447000304,38,0,0,52.0,0.0,hold,backpressure-rep1,backpressure,16.0
13.683760060001077,39,0,0,53.0,0.0,increase,backpressure-rep1,backpressure,16.0
14.18801912699928,39,0,0,55.0,0.0,hold,backpressure-rep1,backpressure,16.0
14.696314804001304,39,0,0,53.0,0.0,hold,backpressure-rep1,backpressure,16.0
15.200941548002447,39,4,0,60.0,0.0,hold,backpressure-rep1,backpressure,16.0
15.710791928002436,40,12,0,74.0,0.0,increase,backpressure-rep1,backpressure,16.0
16.218254999999772,40,20,0,91.0,0.0,hold,backpressure-rep1,backpressure,16.0
16.725234732999525,40,28,0,98.0,0.0,hold,backpressure-rep1,backpressure,16.0
17.235430038999766,40,36,0,109.0,0.0,hold,backpressure-rep1,backpressure,16.0
17.744280325001455,41,40,4,120.0,0.0,increase,backpressure-rep1,backpressure,16.0
18.25696011400214,41,41,12,130.0,0.0,hold,backpressure-rep1,backpressure,16.0
18.768191189999925,41,41,20,139.0,0.0,hold,backpressure-rep1,backpressure,16.0
19.272715614002664,41,41,28,145.0,0.0,hold,backpressure-rep1,backpressure,16.0
19.776607681000314,42,41,36,148.0,0.0,increase,backpressure-rep1,backpressure,16.0
20.288958913002716,42,42,43,151.0,0.0,hold,backpressure-rep1,backpressure,16.0
20.793548617999477,42,42,48,152.0,0.0,hold,backpressure-rep1,backpressure,16.0
21.304589478000707,42,42,51,154.0,0.0,hold,backpressure-rep1,backpressure,16.0
21.811416754000675,43,42,54,153.0,0.0,increase,backpressure-rep1,backpressure,16.0
22.3194915210006,43,43,57,154.0,0.0,hold,backpressure-rep1,backpressure,16.0
22.833852597999794,43,43,60,155.0,0.0,hold,backpressure-rep1,backpressure,16.0
23.345082105002803,43,43,62,153.0,0.0,hold,backpressure-rep1,backpressure,16.0
23.856090343000687,44,43,65,154.0,0.0,increase,backpressure-rep1,backpressure,16.0
24.368314793002355,44,44,66,155.0,0.0,hold,backpressure-rep1,backpressure,16.0
24.8780283590022,44,44,74,155.0,0.0,hold,backpressure-rep1,backpressure,16.0
25.38825037800052,44,44,82,154.0,0.0,hold,backpressure-rep1,backpressure,16.0
25.901689320002333,45,44,90,154.0,0.0,increase,backpressure-rep1,backpressure,16.0
26.40610834600011,45,45,97,156.0,0.0,hold,backpressure-rep1,backpressure,16.0
26.91524742800175,45,45,104,157.0,0.0,hold,backpressure-rep1,backpressure,16.0
27.420805439000105,45,45,112,158.0,0.0,hold,backpressure-rep1,backpressure,16.0
27.92551524600276,46,45,116,159.0,0.0,increase,backpressure-rep1,backpressure,16.0
28.429837170999235,46,46,118,161.0,0.0,hold,backpressure-rep1,backpressure,16.0
28.939388415001304,46,46,122,161.0,0.0,hold,backpressure-rep1,backpressure,16.0
29.45025375700061,46,46,125,160.0,0.0,hold,backpressure-rep1,backpressure,16.0
29.954744775001018,47,46,128,161.0,0.0,increase,backpressure-rep1,backpressure,16.0
30.459817156999634,47,47,122,162.0,0.0,hold,backpressure-rep1,backpressure,16.0
30.96400013300081,47,47,116,161.0,0.0,hold,backpressure-rep1,backpressure,16.0
31.468154700000014,47,47,110,162.0,0.0,hold,backpressure-rep1,backpressure,16.0
31.972266978002153,48,47,108,162.0,0.0,increase,backpressure-rep1,backpressure,16.0
32.48067855699992,48,48,107,163.0,0.0,hold,backpressure-rep1,backpressure,16.0
32.98929853200025,48,48,107,164.0,0.0,hold,backpressure-rep1,backpressure,16.0
33.499571348002064,48,48,106,163.0,0.0,hold,backpressure-rep1,backpressure,16.0
34.01812982900083,49,48,106,165.0,0.0,increase,backpressure-rep1,backpressure,16.0
34.521999774002325,49,49,104,166.0,0.0,hold,backpressure-rep1,backpressure,16.0
35.0259564270018,49,49,104,168.0,0.0,hold,backpressure-rep1,backpressure,16.0
35.54137662500216,49,48,97,168.0,0.0,hold,backpressure-rep1,backpressure,16.0
36.04595712700029,50,49,92,168.0,0.0,increase,backpressure-rep1,backpressure,16.0
36.55082183200284,50,50,85,168.0,0.0,hold,backpressure-rep1,backpressure,16.0
37.062266330001876,50,50,80,169.0,0.0,hold,backpressure-rep1,backpressure,16.0
37.56870532800167,50,50,75,170.0,0.0,hold,backpressure-rep1,backpressure,16.0
38.081755330000306,51,50,70,169.0,0.0,increase,backpressure-rep1,backpressure,16.0
38.59672592500283,51,50,63,168.0,0.0,hold,backpressure-rep1,backpressure,16.0
39.11271211600251,51,51,58,170.0,0.0,hold,backpressure-rep1,backpressure,16.0
39.61845840699971,51,51,56,169.0,0.0,hold,backpressure-rep1,backpressure,16.0
40.123401354001544,52,51,56,169.0,0.0,increase,backpressure-rep1,backpressure,16.0
40.628967140000896,52,52,55,170.0,0.0,hold,backpressure-rep1,backpressure,16.0
41.13577559800251,52,52,54,171.0,0.0,hold,backpressure-rep1,backpressure,16.0
41.65053829899989,52,52,52,171.0,0.0,hold,backpressure-rep1,backpressure,16.0
42.162160032999964,53,52,52,174.0,0.0,increase,backpressure-rep1,backpressure,16.0
42.67816269499963,53,53,49,176.0,0.0,hold,backpressure-rep1,backpressure,16.0
43.194055306001246,53,53,43,177.0,0.0,hold,backpressure-rep1,backpressure,16.0
43.705445392999536,53,53,37,175.0,0.0,hold,backpressure-rep1,backpressure,16.0
44.217325780002284,54,53,32,177.0,0.0,increase,backpressure-rep1,backpressure,16.0
44.72800416999962,54,54,26,177.0,0.0,hold,backpressure-rep1,backpressure,16.0
45.23623808100092,54,54,20,175.0,0.0,hold,backpressure-rep1,backpressure,16.0
45.747830407002766,54,52,16,175.0,0.0,hold,backpressure-rep1,backpressure,16.0
46.25449784400189,55,54,8,175.0,0.0,increase,backpressure-rep1,backpressure,16.0
46.75844910900196,55,55,3,178.0,0.0,hold,backpressure-rep1,backpressure,16.0
47.2663830240017,55,55,1,177.0,0.0,hold,backpressure-rep1,backpressure,16.0
47.778579828001966,55,55,1,178.0,0.0,hold,backpressure-rep1,backpressure,16.0
48.28766791900125,56,55,0,177.0,0.0,increase,backpressure-rep1,backpressure,16.0
48.79747172600037,56,54,0,177.0,0.0,hold,backpressure-rep1,backpressure,16.0
49.31214590700256,56,53,0,176.0,0.0,hold,backpressure-rep1,backpressure,16.0
49.81807018000109,56,52,0,174.0,0.0,hold,backpressure-rep1,backpressure,16.0
50.322037043999444,57,50,0,172.0,0.0,increase,backpressure-rep1,backpressure,16.0
50.82641315000001,57,43,0,163.0,0.0,hold,backpressure-rep1,backpressure,16.0
51.33722143400155,57,37,0,154.0,0.0,hold,backpressure-rep1,backpressure,16.0
51.848806409001554,57,30,0,142.0,0.0,hold,backpressure-rep1,backpressure,16.0
52.35644480300107,58,24,0,128.0,0.0,increase,backpressure-rep1,backpressure,16.0
52.8614338389998,58,14,0,104.0,0.0,hold,backpressure-rep1,backpressure,16.0
53.370873235002364,58,3,0,70.0,0.0,hold,backpressure-rep1,backpressure,16.0
53.879759989002196,58,0,0,55.0,0.0,hold,backpressure-rep1,backpressure,16.0
54.38400932300283,59,0,0,53.0,0.0,increase,backpressure-rep1,backpressure,16.0
54.889219643002434,59,0,0,53.0,0.0,hold,backpressure-rep1,backpressure,16.0
55.3935617850002,59,0,0,53.0,0.0,hold,backpressure-rep1,backpressure,16.0
55.898659328002395,59,0,0,53.0,0.0,hold,backpressure-rep1,backpressure,16.0
56.40298281400101,60,0,0,53.0,0.0,increase,backpressure-rep1,backpressure,16.0
56.90993211500245,60,0,0,54.0,0.0,hold,backpressure-rep1,backpressure,16.0
57.41390842200053,60,0,0,53.0,0.0,hold,backpressure-rep1,backpressure,16.0
57.91828227199949,60,0,0,53.0,0.0,hold,backpressure-rep1,backpressure,16.0
58.424696352001774,61,0,0,54.0,0.0,increase,backpressure-rep1,backpressure,16.0
58.934514526001294,61,0,0,55.0,0.0,hold,backpressure-rep1,backpressure,16.0
59.44420692000131,61,0,0,52.0,0.0,hold,backpressure-rep1,backpressure,16.0
59.95002935700177,61,0,0,52.0,0.0,hold,backpressure-rep1,backpressure,16.0
60.453987667002366,62,0,0,26.0,0.0,increase,backpressure-rep1,backpressure,16.0
